feature,importance_gain,importance_split
pos_mean_SK_DPD_DEF_SCALE,311.9065766175588,26.53333333333333
prev_PRODUCT_COMBINATION_mode,152.01115195316572,25.8
bureau_sum_STATUS_12CNT_C,138.6748854160309,25.4
bureau_recent_AMT_MAX_OVERDUE_RATIO,202.75890355904897,25.26666666666667
bureau_active_avg_AMT_MAX_OVERDUE_RATIO,166.3344269995888,25.2
inst_var_AMT_PAYMENT_DIFF,154.65164150098957,25.133333333333333
bureau_active_avg_AMT_CREDIT_LEFT_OVER_ANNUITY,177.35621287425357,25.06666666666667
cc_max_CNT_DRAWINGS_CURRENT,220.6956387201945,24.733333333333334
DOCUMENT_CNT,323.1182281653086,24.73333333333333
prev_sum_CHANNEL_TYPE_Credit_and_cash_offices,130.7071621030569,24.6
prev_refused_AMT_ANNUITY_MEAN,140.94608191450436,24.466666666666665
prev_refused_AMT_DIFF_CREDIT_GOODS_MEAN,115.99196838885545,23.733333333333334
prev_refused_AMT_APPLICATION_MEAN,134.1375223537286,23.2
prev_refused_APP_CREDIT_PERC_MEAN,137.71889592284955,23.133333333333333
prev_active_sum_AMT_APPLICATION,144.19301925500233,23.133333333333333
cc_mean12_CNT_DRAWINGS_ATM_CURRENT,582.5290927601357,23.06666666666667
prev_sum_NAME_TYPE_SUITE_Unaccompanied,140.9631326392293,22.866666666666667
cc_scale_mean_scale_sum_CNT_DRAWINGS_ATM_CURRENT,577.5005914757648,22.73333333333333
prev_recent_DAYS_TERMINATION,136.7855555827419,22.533333333333335
prev_refused_AMT_CREDIT_GOODS_PERC_MEAN,129.92227015296618,22.466666666666665
prev_recent_AMT_DIFF_CREAPP,129.358938417087,22.466666666666665
cc_max_AMT_DRAWING_BALANCE_RATIO,149.65218614041805,22.26666666666667
prev_refused_AMT_APPLICATION_MAX,139.905034160614,22.266666666666666
bureau_sum_MONTH_LAST_C,177.08102324406306,21.866666666666667
Total_AMT_LEFT_INCOME_RATIO,127.99505879084268,21.533333333333335
cc_mean4_AMT_BALANCE_CREDIT_RATIO,352.29161334335805,21.4
bureau_recent_DAYS_END_DIFF,191.50985704859096,21.4
prev_refused_AMT_CREDIT_GOODS_PERC_MAX,160.97578688263894,20.933333333333334
bureau_active_AMT_LIMIT_TOTAL_RATIO,158.21543835798897,20.8
bureau_sum_STATUS_TCNT_X,130.5252357860406,20.8
cc_var_AMT_BALANCE_CREDIT_RATIO,136.86184100310007,20.666666666666668
prev_sum_CHANNEL_TYPE_Contact_center,133.34375784397125,20.666666666666664
prev_NAME_GOODS_CATEGORY_mode,123.71906655691564,20.666666666666664
bureau_active_AMT_MAX_OVERDUE_TOTAL_RATIO,157.27836585752664,20.6
prev_recent_RATE_DOWN_PAYMENT,123.02018732031186,20.6
bureau_sum_STATUS_TCNT_C,177.0277423833807,20.533333333333335
cc_mean_AMT_CREDIT_LIMIT_ACTUAL,121.44065827131271,20.4
cc_mean4_AMT_PAY_USE_RATIO,122.7729072868824,20.2
Total_acc,182.25390446980794,20.133333333333333
prev_refused_AMT_DIFF_CREDIT_GOODS_MAX,129.3791776482016,20.0
prev_active_sum_AMT_LEFT2,118.510397340854,20.0
cc_scale_sum_AMT_CREDIT_LIMIT_ACTUAL,122.38973133812347,19.93333333333333
FLOORSMAX_MODE,214.65524282455445,19.93333333333333
cc_var_AMT_PAY_USE_RATIO,100.55398199359576,19.6
prev_refused_AMT_DIFF_CREAPP_MEAN,124.8191909511884,19.533333333333335
prev_sum_CHANNEL_TYPE_Country_wide,95.54274071690936,19.333333333333336
NAME_HOUSING_TYPE,102.28559947013856,19.26666666666667
bureau_sum_AMT_CREDIT_SUM_OVERDUE,219.59562207063036,19.2
AMT_REQ_CREDIT_BUREAU_YEAR,118.0124936039249,19.2
prev_recent_CNT_PAYMENT,113.33368046643834,18.93333333333333
bureau_recent_AMT_LIMIT_RATIO,115.77554709712665,18.8
AMT_INCOME_TOTAL,122.34831063548722,18.6
cc_mean4_CNT_DRAWINGS_ATM_CURRENT,404.8481993556023,18.466666666666665
prev_NAME_TYPE_SUITE_mode,114.18039612670741,18.333333333333336
bureau_AMT_LIMIT_TOTAL_RATIO,118.90373235543571,18.333333333333332
CNT_FAM_MEMBERS,162.22622936119637,18.333333333333332
prev_max_DAYS_TOTAL2,189.39538694421452,18.266666666666666
pos_sum_SK_DPD_DEF_SCALE,143.90864543318747,18.0
prev_sum_CHANNEL_TYPE_Channel_of_corporate_sales,108.5926427046458,17.666666666666668
cc_var_CNT_DRAWINGS_ATM_CURRENT,254.13422359625497,17.6
bureau_sum_STATUS_TCNT_DPD_SUM,129.5963174323241,17.466666666666665
cc_mean4_AMT_DRAWING_BALANCE_RATIO,98.23343132684627,17.4
bureau_active_sum_AMT_ANNUITY,108.51398948828378,17.26666666666667
bureau_sum_STATUS_TCNT_DPD_MEAN,124.24959460894267,17.26666666666667
cc_scale_sum_CNT_DRAWINGS_ATM_CURRENT,335.6930232485135,17.133333333333333
prev_active_sum_AMT_CREDIT,103.8326871951421,16.8
inst_AMT_PAYMENT_TOTAL_RATIO,192.13061068256698,16.6
prev_recent_NAME_GOODS_CATEGORY,106.62733592192333,16.6
WALLSMATERIAL_MODE,96.43930185635884,16.533333333333335
cc_mean12_AMT_CREDIT_LIMIT_ACTUAL,156.09170850118002,16.533333333333335
bureau_recent_AMT_CREDIT_SUM_LIMIT,105.75389431715011,16.53333333333333
cc_var_AMT_DRAWING_BALANCE_RATIO,108.51586343385279,16.46666666666667
cc_max_AMT_RECEIVABLE_PRINCIPAL_DIFF,138.55156981286905,16.466666666666665
pos_count,287.8329260279735,16.466666666666665
cc_scale_mean_scale_sum_AMT_CREDIT_LIMIT_ACTUAL,119.15132654209931,16.333333333333336
FLAG_OWN_CAR,594.8911752263705,16.266666666666666
cc_mean_AMT_PAY_USE_RATIO,85.95127263168494,16.266666666666666
cc_mean12_AMT_DRAWING_BALANCE_RATIO,107.9094202061494,16.066666666666666
prev_refused_APP_CREDIT_PERC_MAX,103.56552913859487,16.0
bureau_active_sum_AMT_MAX_OVERDUE_RATIO,104.20159913996856,15.8
bureau_active_sum_AMT_LIMIT_RATIO,99.54569367070992,15.8
prev_sum_NAME_YIELD_GROUP_low_normal,76.56818776925405,15.733333333333334
cc_scale_sum_AMT_PAY_USE_RATIO,88.34678235848745,15.73333333333333
cc_var_AMT_RECEIVABLE_PRINCIPAL_DIFF,173.54510055283706,15.6
bureau_sum_AMT_ANNUITY,89.76481823325157,15.6
cc_scale_sum_CNT_ACCOUNT_W_MONTH,90.98173731764157,15.533333333333331
cc_CNT_INSTALMENT_MATURE_CUM,105.92808336764574,15.466666666666669
bureau_sum_STATUS_12CNT_X,101.96068640549979,15.466666666666669
prev_sum_NAME_PAYMENT_TYPE_XNA,84.26332560181618,15.466666666666665
bureau_active_sum_AMT_CREDIT_LEFT_OVER_ANNUITY,98.4831518098712,15.333333333333334
bureau_sum_AMT_CREDIT_SUM_LIMIT,102.19827970266341,15.26666666666667
prev_recent_DAYS_TOTAL,82.38679243326187,15.266666666666666
prev_NAME_SELLER_INDUSTRY_mode,99.70156025371205,15.2
pos_NAME_CONTRACT_STATUS_CNT_Completed,141.44626941556731,15.0
prev_recent_CNT_PAYMENT_DIFF,89.70476000507672,15.0
prev_active_sum_AMT_OWE,95.28858135491609,14.933333333333334
AMT_REQ_CREDIT_BUREAU_TOTAL,92.2501690968871,14.866666666666665
